include_wii,code_wii
font,fonts/smallfont,,
font,fonts/boldfont,,
font,fonts/normalfont,,
font,fonts/extrabigfont,,
font,fonts/objectivefont,,
fx,misc/missing_fx,,
impactfx,default,,
lightdef,light_dynamic
lightdef,light_point_linear
localize,cgame
localize,platform
material,$default
material,white
material,black
material,$additive
material,$additive_nodepth
material,$glare_blind
material,$point
material,$line
material,$line_nodepth
material,light_corona
material,clear_alpha
material,clear_alpha_stencil
material,depthprepass
material,shadowclear
material,shadowcookieoverlay
material,shadowcookieblur
material,shellshock
material,shellshock_flashed
material,color_channel_mixer
material,frame_color_debug
material,frame_alpha_debug
material,feedbackblend
material,feedbackfilmblend
material,feedbackreplace
material,$ps3_aadownsample
material,glow_setup
material,glow_consistent_setup
material,glow_apply_bloom
material,glow_apply_sky_bleed
material,glow_godrays
material,filter_symmetric_1
material,filter_symmetric_2
material,filter_symmetric_3
material,filter_symmetric_4
material,filter_symmetric_5
material,filter_symmetric_6
material,filter_symmetric_7
material,filter_symmetric_8
material,postfx_dof
material,postfx_dof_color
material,postfx_color
material,postfx
material,dof_downsample
material,dof_near_coc
material,small_blur
material,particle_blend
material,particle_zdownsample
material,motionblurfilter1
material,motionblurfilter2
material,motionblurfilter3
material,motionblurfilter4
material,motionblurfilter5
material,motionblurfilter6
material,motionblurfilter7
material,motionblurfilter8
material,motionblurframebased
material,motionblurradial
material,flamethrowerfx_color_distort_overlay_bloom
material,watersheeting_color_distort_blur
material,revivefx
material,statmon_warning_tris
material,console
material,code_warning_file
material,code_warning_fps
material,nottalkingicon
material,talkingicon
material,shadowcaster
material,shadowoverlay
material,floatz_display
material,$floatz
material,$processed_floatz
material,stencilshadow
material,stencildisplay
material,pixel_cost_color_code
material,pixel_cost_add_depth_always
material,pixel_cost_add_depth_disable
material,pixel_cost_add_depth_equal
material,pixel_cost_add_depth_less
material,pixel_cost_add_depthwrite
material,pixel_cost_add_nodepthwrite
material,line_horizontal
material,poison
material,rope
material,logo
menufile,ui/code.txt
menufile,ui/default.menu
weapon,none
xanim,player_mantle_up_57
xanim,player_mantle_up_51
xanim,player_mantle_up_45
xanim,player_mantle_up_39
xanim,player_mantle_up_33
xanim,player_mantle_up_27
xanim,player_mantle_up_21
xanim,player_mantle_over_high
xanim,player_mantle_over_low
xanim,player_mantle_over_mid
xanim,void
xmodel,void
material,ui_scrollbar
material,ui_scrollbar_arrow_dwn_a
material,ui_scrollbar_arrow_up_a
material,ui_scrollbar_arrow_left
material,ui_scrollbar_arrow_right
material,ui_scrollbar_thumb
material,ui_slider2
material,ui_sliderbutt_1
material,gradient
material,line_horizontal
material,gradient_top
material,gradient_bottom
material,gradient_center
physpreset,default
physconstraints,default
material,compass_fov
techset,default
localize,vidsubtitles
stringtable,video/subtitles.csv

material,ui_host
stringtable,maps/didyouknow_coop.csv
stringtable,maps/didyouknow_epd.csv
stringtable,mp/defaultStringTable.csv
stringtable,mp/rankIconTable.csv
stringtable,mp/statstable.csv
stringtable,mp/attachmenttable.csv
stringtable,mp/classtable.csv
stringtable,mp/offline_classtable.csv
stringtable,mp/ranktable.csv
stringtable,mp/attributestable.csv
stringtable,mp/gametypestable.csv
stringtable,mp/challengetable_coop.csv
stringtable,mp/challengetable_coop1.csv
stringtable,mp/challengetable_coop2.csv
stringtable,mp/challengetable_coop3.csv
stringtable,mp/challengetable_coop4.csv
stringtable,mp/challengetable_tier1.csv
stringtable,mp/challengetable_tier2.csv
stringtable,mp/challengetable_tier3.csv
stringtable,mp/challengetable_tier4.csv
stringtable,mp/challengetable_tier5.csv
stringtable,mp/challengetable_tier6.csv
stringtable,mp/challengetable_tier7.csv
stringtable,mp/challengetable_tier8.csv
stringtable,mp/challengetable_tier9.csv
stringtable,mp/challengetable_tier10.csv
stringtable,mp/challengetable_tier11.csv
stringtable,mp/challengetable_tier12.csv
stringtable,mp/challengetable_tier13.csv
stringtable,mp/challengetable_tier14.csv
stringtable,mp/challengetable_tier15.csv
stringtable,mp/challengetable_tier16.csv
stringtable,mp/challengetable_tier17.csv
stringtable,maps/mapsTable.csv
stringtable,maps/gametypesTable.csv
stringtable,mp/playerstatstable.csv
material,rank_pvt1
material,rank_pvt2
material,rank_pvt3
material,rank_pfc1
material,rank_pfc2
material,rank_pfc3
material,rank_cpl1
material,rank_cpl2
material,rank_cpl3
material,rank_sgt1
material,rank_sgt2
material,rank_sgt3
material,rank_ssgt1
material,rank_ssgt2
material,rank_ssgt3
material,rank_ssgt4
material,rank_gysgt1
material,rank_gysgt2
material,rank_gysgt3
material,rank_gysgt4
material,rank_msgt1
material,rank_msgt2
material,rank_msgt3
material,rank_msgt4
material,rank_sgtm1
material,rank_sgtm2
material,rank_sgtm3
material,rank_sgtm4
material,rank_2ndlt1
material,rank_2ndlt2
material,rank_2ndlt3
material,rank_2ndlt4
material,rank_1stlt1
material,rank_1stlt2
material,rank_1stlt3
material,rank_1stlt4
material,rank_capt1
material,rank_capt2
material,rank_capt3
material,rank_capt4
material,rank_maj1
material,rank_maj2
material,rank_maj3
material,rank_maj4
material,rank_ltcol1
material,rank_ltcol2
material,rank_ltcol3
material,rank_ltcol4
material,rank_col1
material,rank_col2
material,rank_col3
material,rank_col4
material,rank_bgen1
material,rank_bgen2
material,rank_bgen3
material,rank_bgen4
material,rank_majgen1
material,rank_majgen2
material,rank_majgen3
material,rank_majgen4
material,rank_ltgen1
material,rank_ltgen2
material,rank_ltgen3
material,rank_ltgen4
material,rank_comm1
material,rank_prestige1
material,rank_prestige2
material,rank_prestige3
material,rank_prestige4
material,rank_prestige5
material,rank_prestige6
material,rank_prestige7
material,rank_prestige8
material,rank_prestige9
material,rank_prestige10
