name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,min_priority,max_priority,min_priority_threshold,max_priority_threshold
amb_booming_03,,stream\level\mp_subway\amb_booming_03.wav,0.58,0.58,,,3000,18000,18000,ambience,,3d,streamed,,looping,,all_mp,,,,,,,curve1,,,,,,,,15000,18000,0.25,0.2,20,90,0.25,1

amb_small_arms_01,,stream\level\mp_subway\amb_small_arms_01.wav,0.42,0.42,,,3000,18000,18000,ambience,,3d,streamed,,looping,,all_mp,,,,,amb_battle_shouts_dist_L,,curve1,,,,,,,,15000,18000,0.25,0.2,20,90,0.25,1
amb_small_arms_02,,stream\level\mp_subway\amb_small_arms_02.wav,0.38,0.38,,,3000,18000,18000,ambience,,3d,streamed,,looping,,all_mp,,,,,amb_battle_shouts_dist_R,,curve1,,,,,,,,15000,18000,0.25,0.2,20,90,0.25,1
amb_small_arms_03,,stream\level\mp_subway\amb_small_arms_03.wav,0.4,0.4,,,3000,18000,18000,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,15000,18000,0.25,0.2,20,90,0.25,1

amb_shell_by_01,,stream\level\mp_subway\amb_shell_by_01.wav,0.88,0.88,,,3000,18000,18000,ambience,,3d,streamed,,looping,,all_mp,,,,,,,curve1,,,,,,,,15000,18000,0.2,0,20,90,0.25,1
amb_shell_by_02,,stream\level\mp_subway\amb_shell_by_02.wav,0.95,0.95,,,3000,18000,18000,ambience,,3d,streamed,,looping,,all_mp,,,,,,,curve1,,,,,,,,15000,18000,0.2,0,20,90,0.25,1
steam_leak_high,,SFX\Levels\mp_subway\steam_leak_high.wav,0.18,0.18,,,5,450,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
steam_leak_low,,SFX\Levels\mp_subway\steam_leak_low.wav,0.14,0.14,,,5,550,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
steam_leak_high_a,,SFX\Levels\mp_subway\steam_leak_high.wav,0.19,0.19,0.9,0.9,5,450,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
steam_leak_low_a,,SFX\Levels\mp_subway\steam_leak_low.wav,0.15,0.15,0.9,0.9,5,550,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
steam_grating,,SFX\Levels\mp_subway\steam_grating.wav,0.75,0.75,,,15,560,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,,20,90,0.25,1

amb_battle_shouts_dist_L,,SFX\Levels\mp_subway\amb_battle_shouts_dist.L.wav,0.2,0.2,,,3000,18000,18000,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,15000,18000,0.25,0.3,20,90,0.25,1
amb_battle_shouts_dist_R,,SFX\Levels\mp_subway\amb_battle_shouts_dist.R.wav,0.2,0.2,,,3000,18000,18000,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,15000,18000,0.25,0.3,20,90,0.25,1

vehicle_fire_high,,SFX\Levels\mp_subway\vehicle_fire_high.wav,0.4,0.4,1.05,1.05,40,2400,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,0.1,20,90,0.25,1
vehicle_fire_higher,,SFX\Levels\mp_subway\vehicle_fire_higher.wav,0.35,0.35,1.2,1.2,40,2250,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,0.1,20,90,0.25,1
vehicle_fire_low,,SFX\Levels\mp_subway\vehicle_fire_low.wav,0.75,0.75,,,20,4500,,ambience,,3d,,,looping,,all_mp,,,,,vehicle_fire_high,,curve2,,,,,,,,,,,0.1,20,90,0.25,1
vehicle_fire_high_a,,SFX\Levels\mp_subway\vehicle_fire_high.wav,0.4,0.4,0.95,0.95,20,1800,,ambience,,3d,,,looping,,all_mp,,,,,vehicle_fire_higher,,curve1,,,,,,,,,,,0.1,20,90,0.25,1
vehicle_fire_low_a,,SFX\Levels\mp_subway\vehicle_fire_low.wav,0.75,0.75,0.9,0.9,20,4500,,ambience,,3d,,,looping,,all_mp,,,,,vehicle_fire_high_a,,curve2,,,,,,,,,,,0.1,20,90,0.25,1

paper_fire,,SFX\Levels\mp_subway\fires\paper_fire_00.wav,0.3,0.3,,,5,350,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
small_fire,,SFX\Levels\mp_subway\fires\dyn_fire_00.wav,0.4,0.4,,,15,525,,ambience,,3d,,,looping,,all_mp,,,,,small_fire_a,,curve1,,,,,,,,,,,,20,90,0.25,1
small_fire_a,,SFX\Levels\mp_subway\fires\fires_01.wav,0.3,0.3,,,5,350,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
small_fire_2,,SFX\Levels\mp_subway\fires\hut_fire_00.wav,0.4,0.4,,,15,540,,ambience,,3d,,,looping,,all_mp,,,,,small_fire_2a,,curve1,,,,,,,,,,,,20,90,0.25,1
small_fire_2a,,SFX\Levels\mp_subway\fires\fire_ember_bg.wav,0.5,0.5,,,5,320,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1
small_fire_3,,SFX\Levels\mp_subway\fires\dyn_fire_00.wav,0.4,0.4,,,15,525,,ambience,,3d,,,looping,,all_mp,,,,,paper_fire,,curve1,,,,,,,,,,,,20,90,0.25,1
small_fire_4,,SFX\Levels\mp_subway\fires\hut_fire_00.wav,0.4,0.4,,,15,540,,ambience,,3d,,,looping,,all_mp,,,,,small_fire_3,,curve1,,,,,,,,,,,,20,90,0.25,1

drip_loop_01_a,,SFX\Levels\mp_subway\drip_loop_01_a.wav,0.4,0.4,,,25,525,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,20,5000,0.2,,20,90,0.25,1
drip_loop_01_b,,SFX\Levels\mp_subway\drip_loop_01_b.wav,0.4,0.4,0.9,,25,560,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,20,5000,0.2,,20,90,0.25,1
drip_loop_01_c,,SFX\Levels\mp_subway\drip_loop_01_c.wav,0.4,0.4,0.82,,25,600,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,20,5000,0.2,,20,90,0.25,1
drip_loop_02_a,,SFX\Levels\mp_subway\drip_loop_02_a.wav,0.5,0.5,,,25,575,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,20,5000,0.2,,20,90,0.25,1
drip_loop_02_b,,SFX\Levels\mp_subway\drip_loop_02_b.wav,0.5,0.5,0.9,,25,625,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,20,5000,0.2,,20,90,0.25,1
drip_loop_03_a,,SFX\Levels\mp_subway\drip_loop_03_a.wav,0.4,0.4,,,25,630,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,20,5000,0.2,,20,90,0.25,1
drip_loop_03_b,,SFX\Levels\mp_subway\drip_loop_03_a.wav,0.4,0.4,0.9,,25,675,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,20,5000,0.2,,20,90,0.25,1
big_drip_loop,,SFX\Levels\mp_subway\big_drip_loop.wav,0.4,0.4,1.1,,5,700,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,,,,,20,90,0.25,1
big_drip_loop_02,,SFX\Levels\mp_subway\big_drip_loop.wav,0.4,0.4,1,,5,700,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,,,,,20,90,0.25,1

water_trickle_01,,SFX\Levels\mp_subway\water_trickle.wav,0.56,0.56,,,5,750,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,,,,,20,90,0.25,1
water_trickle_02,,SFX\Levels\mp_subway\water_trickle.wav,0.56,0.56,0.95,,5,750,,ambience,,3d,,,looping,,all_mp,,,,,big_drip_loop,,curve2,,,,0.3,,,,,,,,20,90,0.25,1
water_flow_soft,,SFX\Levels\mp_subway\water_flow_soft.wav,0.38,0.38,0.9,,5,450,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,0.3,,,,,,,,20,90,0.25,1

boiler_01,,SFX\Levels\mp_subway\boiler_01.wav,0.92,0.92,,,10,600,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,,20,90,0.25,1
boiler_02,,SFX\Levels\mp_subway\boiler_02.wav,0.7,0.7,,,10,620,,ambience,,3d,,,looping,,all_mp,,,,,,,curve2,,,,,,,,,,,,20,90,0.25,1

radio_static,,SFX\Levels\mp_subway\radio_static.wav,0.9,0.9,,,10,750,,ambience,,3d,,,looping,,all_mp,,,,,,,curve1,,,,,,,,,,,,20,90,0.25,1


# Ambient SFX - Spawned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train_squeak,,sfx\levels\mp_subway\train\squeak_##,0.6,0.9,0.5,1,10,450,,ambience,0,3d,,,,,all_mp,,,,,train_creak,,curve3,0.8,,,,,,,,,,0.7,30,70,0.25,1
train_creak,,sfx\levels\mp_subway\train\creak_##,0.4,0.8,0.5,1,10,400,,ambience,0,3d,,,,,all_mp,,,,,,,curve3,0.8,,,,,,,,,,0.7,30,70,0.25,1
creaks,,sfx\levels\mp_subway\creaks_##,0.3,0.9,0.5,1,10,700,,ambience,0,3d,,,,,all_mp,,,,,,,curve3,0.7,,,,,,,,,,,30,70,0.25,1
pipe,,sfx\levels\ber3b\pipes\water_loop.wav,0.05,0.05,,,10,250,350,ambience,0,3d,,,looping,,all_mp,,,,,,,curve4,,,,,,,,,,,0.3,30,70,0.25,1
steam_pipe,,sfx\levels\ber3b\pipes\steam_loop.wav,0.08,0.08,,,10,400,550,ambience,0,3d,,,looping,,all_mp,,,,,pipe,,curve3,,,,,,,,,,,0.3,30,90,0.25,1
rodents,,sfx\amb\animals\rodents_##,0.1,0.4,0.85,1.15,10,450,400,ambience,0,3d,,,,,all_mp,,,,,,,curve3,0.8,,,,,,,,,,,30,70,0.25,1
drips,,sfx\amb\water_drips_v2_##,0.4,0.7,0.85,1.15,10,550,400,ambience,0,3d,,,,,all_mp,,,,,,,curve3,0.8,,,,,,,,,,,30,70,0.25,1

imp_high,,sfx\amb\distant_impacts\imp_artillery_##,0.4,0.6,,,10,900,,ambience,0,3d,,,,,all_mp,,,,,,,curve3,0.7,,,,,,,,,,0.7,,,,
imp_low,,sfx\amb\bomb_far_##,0.4,0.7,,,10,1500,,ambience,0,3d,,,,,all_mp,,,,,imp_high,,curve4,0.8,,,,,,,,,,,,,,

win_rattle,,sfx\levels\mp_subway\window_rattle_##,0.5,0.7,0.85,1.2,10,500,600,ambience,0,3d,,,,,all_MP,,,,,wind_gusts,,curve3,0.4
metal_rattle,,sfx\levels\mp_subway\metal_rattle_##,0.5,0.7,0.85,1.2,10,500,600,ambience,1,3d,,,,,all_MP,,,,,wind_gusts,,curve4,0.4

wind_gusts,,SFX\Amb\Wind\gusts\3d_##,0.4,0.7,,,5,600,800,ambience,0,3d,,,,,all_mp,,,,,,,curve3,
wind_howl,,sfx\levels\mp_subway\wind\wind_howl_##,0.5,0.6,0.9,1.1,5,250,400,ambience,0,3d,,,,,all_mp,,,,,,,curve3,

car_idle,,sfx\vehicles\jeep\mp_jeep_engine_idle.wav,0.5,0.5,,,5,300,350,ambience,0,3d,,,looping,,all_mp,,,,,,,curve3,0.1

elec_sparks,,SFX\Levels\mp_subway\sparks_##,0.4,0.7,0.95,1.1,5,400,,ambience,,3d,,,,,all_mp,,,,,,,curve1,

steam_short,,SFX\Levels\mp_subway\steam_short_##,0.11,0.21,0.95,1.1,5,380,,ambience,,3d,,,,,all_mp,,,,,,,curve1,

light_flicker,,SFX\Levels\mp_subway\light_flicker_##,0.14,0.26,0.95,1.05,10,560,,ambience,,3d,,,,,all_mp,,,,,,,curve2,
