name,platform,mature,file,sequence,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,reverb_min_falloff_curve,reverb_falloff_curve,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,move_type,move_time,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle,isbig
creek_calm_close,,,SFX\Amb\rivers\river_closeup_00.wav,,0.45,0.45,1,1,200,1000,1200,,,,,ambience,,curve3,,,curve3,,3d,,,looping,,all_mp,,,,,,,,250,800,0.5,0.25,,,,no,30,50,0.1,1,,
water_vs_pier,,,SFX\Amb\rivers\river_lapping_shore_00.wav,1,0.6,0.7,0.8,1.1,200,800,1100,6,reject,,,ambience,,curve3,,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,,,,0.25,,,,no,30,50,0.1,1,,
water_vs_pier,,,SFX/Amb/Pacific/ocean/water_vs_pier_calm_00.wav,2,0.6,0.7,0.8,1.1,200,800,1100,,,6,reject,ambience,,curve3,,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,,,,0.25,,,,no,30,50,0.1,1,,
water_vs_pier,,,SFX/Amb/Pacific/ocean/water_vs_pier_calm_01.wav,3,0.6,0.7,0.8,1.1,200,800,1100,,,6,reject,ambience,,curve3,,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,,,,0.25,,,,no,30,50,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waterfall_small,,,SFX\Levels\zombie\maps\asylum\water\floor\water_floor.wav,,0.75,0.75,0.96,1.03,50,500,800,,,,,ambience,,curve3,1,,curve3,pitch,3d,,,looping,,all_mp,,,,,,,,,,,0.2,,,no,no,30,60,0.25,1, ,
helmet_rain,,,Stream\Level\ber2\helmet_rain_door.wav,,0.7,0.7,1,1,100,125,125,,,,,full_vol,,curve1,1,,curve3,,3d,,,looping,,all_mp,,,,,,,,50,150,0.5,0.3,,,,,5,10,0.15,0.85,,
helmet_rain_small,,,Stream\Level\ber2\helmet_rain_door.wav,,0.7,0.7,1,1,25,50,50,,,,,full_vol,,curve1,1,,curve3,,3d,,,looping,,all_mp,,,,,,,,50,150,0.5,0.3,,,,,5,10,0.15,0.85,,
water_drip,,,SFX\Amb\amb_drip_##,,0.2,0.35,0.9,1.1,100,1000,1400,,,,,ambience,,curve3,1,,curve2,pitch,3d,,,,,all_mp,,,,,,,,,,,0.25,,,,no,30,50,0.1,0.9,,
explo_dist,,,SFX\Destruction\explosion_occluded_##,,0.75,0.85,0.9,1,150,1600,2200,,,,,ambience,,curve3,,,curve3,,3d,,,,,all_mp,,,,,,,,,,,0.2,,,no,no,30,50,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static,,,sfx/levels/mp_airfield/static_##,,0.4,0.5,1,1,150,800,1400,,,,,ambience,,curve3,0.75,,curve3,,3d,,,,,all_mp,,,,,,,,,,,0.4,,,,,30,60,0.1,0.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#amb_jpb,,,sfx/levels/mp_hangar/jpb/jpb_00.wav,1,0.7,0.7,1,1,500,5000,7000,,,,,ambience,,curve3,0.75,,curve2,,3d,streamed,0.4,,,all_mp,,,,,,,,,,,0.3,,,,,30,60,0.25,0.6,,
#amb_jpb,,,sfx/levels/mp_hangar/jpb/jpb_01.wav,2,0.7,0.7,1,1,500,5000,7000,,,,,ambience,,curve3,0.75,,curve2,,3d,streamed,0.4,,,all_mp,,,,,,,,,,,0.3,,,,,30,60,0.25,0.6,,
#amb_jpb,,,sfx/levels/mp_hangar/jpb/jpb_02.wav,3,0.7,0.7,1,1,500,5000,7000,,,,,ambience,,curve3,0.75,,curve2,,3d,streamed,0.4,,,all_mp,,,,,,,,,,,0.3,,,,,30,60,0.25,0.6,,
#amb_jpb,,,sfx/levels/mp_hangar/jpb/jpb_03.wav,4,0.7,0.7,1,1,500,5000,7000,,,,,ambience,,curve3,0.75,,curve2,,3d,streamed,0.4,,,all_mp,,,,,,,,,,,0.3,,,,,30,60,0.25,0.6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#seagull,,,SFX\Amb\animals\seagull_##,,0.45,0.6,0.95,1.2,50,4500,5000,,,,,ambience,,curve3,,,curve3,pitch,3d,,0.4,,,all_mp,,,,,,,,,,,0.2,,,no,no,30,50,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waterfall,,,SFX\Amb\water\waterfall_3.wav,,0.85,0.85,0.96,1.03,100,2250,3250,,,,,ambience,,curve2,0.2,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,100,350,0.5,0,,,no,no,30,60,0.25,1, ,
waterfall_lowend,,,SFX\Amb\water\waterfall_lowend.wav,,1,1,1,1,100,3500,4500,,,,,ambience,,curve2,0.2,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,100,350,0.5,0,,,no,no,30,60,0.25,1, ,
waterfall_top,,,SFX\Amb\water\waterfall_top.wav,,0.85,0.85,0.96,1.03,100,2250,3250,,,,,ambience,,curve2,0.2,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,100,350,0.5,0,,,no,no,30,60,0.25,1, ,
waterfall_cave,,,SFX\Amb\water\waterfall_cave.wav,,0.85,0.85,0.96,1.03,100,500,800,,,,,ambience,,curve2,0.2,,curve2,pitch,3d,,,looping,,all_mp,,,,,,,,100,350,0.5,0,,,no,no,30,60,0.25,1, ,
