name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,move_type,move_time,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold
lantern_close,,SFX\Levels\nazi_zombie_sumpf\lantern\lantern_loop.wav,0.5,0.5,0.85,1.05,50,150,200,5,priority,,,full_vol,,3d,,,looping,,,curve2,,,pitch,,,curve1,,,,,,,,50,150,0.5,0.25,,,no,no,5,10,0.1,1
lantern,,SFX\Levels\nazi_zombie_sumpf\lantern\lantern_loop_far.wav,0.7,0.7,0.85,1.05,50,550,800,5,priority,,,full_vol,,3d,,,looping,,,curve2,,,pitch,lantern_close,,curve2,,,,,,,,50,200,0.8,0.25,,,no,no,5,10,0.1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind_howl,,SFX\Levels\mp_subway\wind\wind_howl_##,0.85,0.85,0.95,1.05,200,800,1300,,,1,reject,ambience,,3d,,,,,,curve3,,,pitch,,,curve3,,,,0.6,,,,50,250,0.5,0.35,,,,no,30,50,0.1,0.9
wind_gusts,1,SFX\Amb\Wind\gusts\3d\med_##,0.1,0.25,0.9,1.1,100,650,850,,,,,ambience,,3d,,,,,,curve3,,,,,,curve3,,,,0.9,,,,,,,0.4,,,,,20,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steam_short,,SFX\Levels\mp_subway\steam_short_##,0.11,0.21,0.95,1.1,5,380,400,,,,,ambience,,3d,,,,,,curve1,,,,,,,,,,,,,,,,,,,,,,,,,
sparks,,SFX\Levels\mp_drum\sparks_##,0.4,0.7,0.95,1.1,5,400,450,,,,,ambience,,3d,,,,,,curve1,,,,,,curve1,,,,0.75,,,,,,,0.5,,,,,20,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_water_drips,,SFX\Amb\amb_drip_##,0.2,0.5,0.9,1.05,10,400,450,5,priority,,,ambience,,3d,,,,,,curve3,,,,,,curve3,,,,0.75,,,,,,,0.25,,,,,20,50,0.25,1
drips_ground,,SFX\Amb\drips\ground_##,0.1,0.1,0.9,1.1,150,500,1000,5,priority,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.5,,,,,,,0.6,,,,,20,60,0.25,1
drips_room,,SFX\Amb\drips\room_##,0.1,0.1,0.9,1.1,150,500,1000,5,priority,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.5,,,,,,,0.6,,,,,20,60,0.25,1
drips_pipe,,SFX\Amb\drips\pipe_##,0.3,0.5,0.9,1.1,150,500,1000,5,priority,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.5,,,,,,,0.6,,,,,20,60,0.25,1
drips_water,,SFX\Amb\drips\water_##,0.1,0.3,0.9,1.1,150,500,1000,5,priority,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.5,,,,,,,0.6,,,,,20,60,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steam_leak_high_a,,SFX\Levels\mp_drum\steam_leak_high.wav,0.4,0.4,0.9,0.9,5,450,,,,,,ambience,,3d,,,looping,,,curve1,,,,,,curve1,,,,0.75,,,,20,90,0.25,0.5,,,,,,,,
steam_leak_low_a,,SFX\Levels\mp_drum\steam_leak_low.wav,0.4,0.4,0.9,0.9,5,550,,,,,,ambience,,3d,,,looping,,,curve1,,,,,,curve1,,,,0.75,,,,20,90,0.25,0.5,,,,,,,,
steam_grating,,SFX\Levels\mp_drum\steam_grating.wav,0.65,0.65,,,15,560,,,,,,ambience,,3d,,,looping,,,curve1,,,,,,curve1,,,,0.75,,,,20,90,0.25,0.5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boiler_a,,SFX\Levels\mp_vodka\boiler_rumble.wav,0.75,0.75,1,1,50,1500,,,,,,ambience,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,0.4,,,,,40,80,0.25,1
boiler_hiss,,SFX\Levels\mp_vodka\boiler_hiss.wav,0.75,0.75,1,1,50,1000,,,,,,ambience,,3d,streamed,,looping,,,,,,,,,,,,,,,,,,,,0.4,,,,,40,80,0.25,1
boiler_churn,,SFX\Levels\mp_vodka\boiler_churn.wav,0.75,0.75,0.9,1.1,50,500,,,,,,ambience,,3d,,,looping,,,,,,,,,,,,,,,,,,,,0.4,,,,,40,80,0.25,1
boiler_gurgle,,SFX\Levels\mp_vodka\AMB_Water_Tank_##,0.1,0.75,0.9,1.1,50,500,1000,,,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.5,,,,,,,0.4,,,,,20,60,0.25,1
# Ambient SFX - Spawned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amb_crow,,SFX/amb/animals/raven_##,0.5,0.7,0.9,1.1,250,1300,2000,5,priority,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.8,,,,,,,0.5,,,,,20,50,0.25,1
amb_flies,,SFX/Amb/animals/flies_##,0.1,0.3,0.9,1.2,50,700,800,5,priority,,,ambience,60,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.8,,,,,,,0.7,,,,,20,60,0.25,1
amb_crickets,,SFX/Amb/animals/crickets_##,0.1,0.3,0.9,1.2,50,700,800,5,priority,,,ambience,60,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.8,,,,,,,0.7,,,,,20,60,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light_buzz,,SFX\Amb\lightbulbs\light_hum_00.wav,0.6,0.7,0.9,1.1,150,500,1000,,,,,ambience,,3d,,,looping,,all_mp,curve3,,,,,,curve3,,,,0.5,,,,,,,0.6,,,,,20,60,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elec_sparks,,SFX\Levels\mp_subway\sparks_##,0.1,0.25,0.9,1.1,150,1500,1600,,,,,ambience,,3d,,,,,all_mp,curve3,,,,,,curve3,,,,0.5,,,,,,,0.6,,,,,20,60,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire_med,,SFX/Destruction/fires/dynamic/dyn_fire_00.wav,0.5,0.6,0.9,1.1,150,500,1000,,,,,ambience,,3d,,,looping,,all_mp,curve3,,,,,,curve3,,,,0.5,,,,,,,0.6,,,,,20,60,0.25,1
#door_wind,,SFX/Levels/mp_asylum/wind_gaps.wav,0.2,0.2,0.9,1.1,100,200,250,,,,,ambience,,3d,streamed,,looping,,all_mp,curve3,,,,,,curve3,,,,0.6,,,,,,,0.6,,,,,20,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factory1,,Stream\Backgrounds\factory\factory_00.wav,0.3,0.3,1,1,1000,8000,18000,,,,,ambience,,3d,streamed,,looping,,,curve3,,,,,,curve3,,,,0.3,,,,,,,,,,,,20,50,0.25,1
factory2,,Stream\Backgrounds\factory\factory_01.wav,0.3,0.3,1,1,1000,8000,18000,,,,,ambience,,3d,streamed,,looping,,,curve3,,,,,,curve3,,,,0.3,,,,,,,,,,,,20,50,0.25,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,


























,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
