name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,dist_reverb_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,priority,spatialized,type,probability,loop,masterslave,loadspec,reverb_falloff_curve,subtitle,compression,randomize_type,secondaryaliasname,chainaliasname,volumefalloffcurve,probability,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage,occlusion_level,move_type,move_time,real_delay,distance_lpf,min_priority,max_priority,min_priority_threshold,max_priority_threshold,doppler
air_raid_c,,sfx\levels\nazi_zombie_factory\air_raid\air_raid_loop_03.wav,0.95,0.95,,,3000,10000,10500,,,,,ambience,,3d,streamed,,looping,,,,,,,,,curve1,,,,,,,,,,,0.65,,,,,20,90,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ember,,sfx\amb\debris\ember_##,0.30,0.30,,,75,200,,,,,,ambience,,3d,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,20,90,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dist_mach,,SFX\Levels\zombie\maps\giant\dist_mach_##,0.45,0.5,1,1,500,3000,,,,,,full_vol,,3d,,,looping,,,curve4,,,,,,curve3,,,,0.7,,,,,,,0.2,,,,,20,40,0.2,0.8,
mach_line_loop,,SFX\Levels\zombie\maps\giant\mach_line_loop.wav,0.45,0.45,1,1,100,2000,,,,,,full_vol,,3d,,,looping,,,curve3,,,,,,curve3,,,,0.6,,,,50,200,0.3,0,,,no,no,20,40,0.2,0.8,
lantern_close,,SFX\Levels\nazi_zombie_sumpf\lantern\lantern_loop.wav,0.8,0.8,0.85,1.05,50,150,,5,priority,,,full_vol,,3d,,,looping,,,curve2,,,pitch,,,curve1,,,,,,,,50,150,0.5,0.25,,,no,no,5,10,0.1,1,
lantern,,SFX\Levels\nazi_zombie_sumpf\lantern\lantern_loop_far.wav,1,1,0.85,1.05,50,550,,5,priority,,,full_vol,,3d,,,looping,,,curve2,,,pitch,lantern_close,,curve2,,,,,,,,50,200,0.8,0.25,,,no,no,5,10,0.1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steam_looper,,SFX\Levels\zombie\maps\giant\steam_loop.wav,0.125,0.125,0.98,1.02,100,1000,,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,,0.5,,,,,,,0.25,,,,,20,40,0.25,1,
steam_effect,,SFX\Levels\zombie\maps\giant\steam_effect.wav,0.9,0.9,0.95,1.05,100,1400,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.7,,,,,,,0.25,,,,,20,40,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metal_creak,,SFX\Amb\metal\scrape_##,0.85,0.95,0.95,1.05,100,1000,,,,,,ambience,,3d,,,,,,curve4,,,,,,curve3,,,,0.8,,,,,,,0.25,,,,,40,60,0.25,1,
metal_groan,,SFX\Amb\metal\wronk_##,0.85,0.95,0.95,1.05,100,1000,,,,,,ambience,,3d,,,,,,curve4,,,,,,curve3,,,,0.8,,,,,,,0.25,,,,,40,60,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
break_arc,,SFX\Levels\zombie\maps\asylum\switch\gen_arc\gen_arc_loop.wav,0.9,0.9,0.98,1.02,200,1200,,,,,,full_vol,,3d,,,looping,,,curve3,,,,,,curve2,,,,0.8,,,,,,,0.1,,,,,40,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power_down_2d,,SFX\Levels\zombie\maps\giant\power_down_2d.wav,0.9,0.9,1,1,,,,,,,,full_vol,,2d,,,,,,,,,,,,,,,wpn_all,,,,,,,,,,,,,50,80,0.25,1,
power_up_2d,,SFX\Levels\zombie\maps\giant\power_up_2d.wav,1,1,1,1,,,,,,,,full_vol,,2d,,,,,,,,,,,,,,,wpn_all,,,,,,,,,,,,,50,80,0.25,1,
linkall_2d,,SFX\Levels\zombie\maps\giant\linkall_2d.wav,0.9,0.9,1,1,,,,,,,,full_vol,,2d,,,,,,,,,,,,,,,wpn_all,,,,,,,,,,,,,50,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pole_spark,,SFX\Levels\zombie\maps\giant\pole_spark_##,0.65,0.8,0.92,1.08,100,1800,,,,,,ambience,,3d,,,,,,curve4,,,pitch,,,curve2,,,,0.8,,,,,,,0.25,,,,,40,80,0.25,1,
tele_light,,SFX\Levels\zombie\maps\giant\tele_light.wav,0.15,0.2,0.98,1.1,50,350,,,,,,full_vol,,3d,,,looping,,,curve2,,,pitch,,,curve3,,,,0.8,,,,50,150,0.4,0.25,,,no,no,5,10,0.1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clock_tick,,SFX\Levels\zombie\maps\giant\clock_tick.wav,1,1,1,1,100,1800,,,,,,ambience,,3d,,,,,,curve3,,,,,,curve3,,,,0.8,,,,,,,0.25,,,,,40,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Flytrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flytrap_loop,,SFX\Levels\zombie\maps\giant\flytrap\flytrap_loop.wav,0.6,0.6,0.98,1.08,50,2000,,,,,,ambience,,3d,,,looping,,,curve4,,,pitch,,,curve3,,,,0.6,,,,,,,0.2,,,,,40,60,0.25,1,yes
shoot_off,,SFX\Levels\zombie\maps\giant\flytrap\shoot_##,0.8,0.8,0.98,1.04,1650,1800,,4,priority,,,full_vol,,3d,,,,,,curve4,,,pitch,,,curve3,,,,0.6,,,,,,,0.2,,,,,40,60,0.25,1,yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flytrap_creeper,,SFX\Levels\zombie\maps\giant\flytrap\flytrap_creeper.wav,1,1,1,1,1500,2000,,,,,,ambience,,3d,,,,,,curve3,,,,,,curve3,,,,0.6,,,,,,,0,,,,,20,40,0.25,1,
flytrap_spin,,SFX\Levels\zombie\maps\giant\flytrap\flytrap_spin.wav,0.8,0.8,1,1,1400,1600,,1,reject,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.6,,,,,,,0,,,,,20,40,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flytrap_hit,,SFX\Levels\zombie\maps\giant\flytrap\flytrap_hit.wav,1,1,1,1,1600,1800,,,,,,full_vol,,3d,,,,,,curve2,,,,flytrap_hit_l,,curve3,,,,0.6,,,,,,,0.2,,,,,20,40,0.25,1,
flytrap_hit_l,,SFX\Levels\zombie\maps\giant\flytrap\flytrap_hit_l.wav,0.8,0.8,1,1,500,2000,,,,,,full_vol,,3d,,,,,,curve3,,,,flytrap_hit_r,,curve2,,,,0.6,,,,,,,,left_player,2,,,20,40,0.25,1,
flytrap_hit_r,,SFX\Levels\zombie\maps\giant\flytrap\flytrap_hit_r.wav,0.8,0.8,1,1,500,2000,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve2,,,,0.6,,,,,,,,right_player,2,,,20,40,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
object_hit,,SFX\Levels\zombie\maps\giant\flytrap\object_hit.wav,0.8,0.8,1,1,50,1000,,,,,,full_vol,,3d,,,,,,curve3,,,,object_hit_l,,curve3,,,,0.6,,,,,,,0.2,,,,,20,40,0.25,1,
object_hit_l,,SFX\Levels\zombie\maps\giant\flytrap\object_hit_l.wav,0.8,0.8,1,1,50,1000,,,,,,full_vol,,3d,,,,,,curve3,,,,object_hit_r,,curve3,,,,0.6,,,,,,,,left_player,3,,,20,40,0.25,1,
object_hit_r,,SFX\Levels\zombie\maps\giant\flytrap\object_hit_r.wav,0.8,0.8,1,1,50,1000,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.6,,,,,,,,right_player,3,,,20,40,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FX TO DO!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chain_rattle,,null.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Power Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light_start,,SFX\Levels\zombie\maps\giant\light_start.wav,1,1,0.85,1.05,200,450,,,,,,full_vol,,3d,,,,,,curve2,,,pitch,,,curve3,,,,0.8,,,,,,,,,,no,no,5,10,0.1,1,
light,,SFX\Amb\lightbulbs\light_humming_00.wav,0.9,1,0.85,1.05,50,350,,,,,,full_vol,,3d,,,looping,,,curve2,,,pitch,,,curve3,,,,0.6,,,,50,150,0.4,0.25,,,no,no,5,10,0.1,1,
gen_start,,SFX\Levels\zombie\maps\giant\gen_loop_start.wav,1,1,1,1,100,1200,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.8,,,,,,,,,,,,20,60,0.25,1,
gen_loop,,SFX\Levels\zombie\maps\giant\gen_loop.wav,0.4,0.4,0.98,1.02,100,800,,,,,,full_vol,,3d,,,looping,,,curve3,,,,,,curve3,,,,0.4,,,,100,200,0.3,0.1,,,,,20,60,0.25,1,
break_start,,SFX\Levels\zombie\maps\giant\break_start.wav,0.95,0.95,1,1,100,800,,,,,,ambience,,3d,,,,,,curve3,,,,,,curve3,,,,0.4,,,,,,,,,,,,20,60,0.25,1,
break_loop,,SFX\Levels\zombie\maps\giant\break_loop.wav,0.5,0.5,1,1,100,600,,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,,0.4,,,,50,150,0.2,0.1,,,,,20,60,0.25,1,
switch_progress,,SFX\Levels\zombie\maps\giant\switch_progress.wav,0.35,0.35,1,1,50,1500,,,,,,full_vol,,3d,,,,,,curve4,,,,,,curve3,,,,0.9,,,,,,,0,,,,,20,60,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridge_lower,,SFX\Levels\zombie\maps\giant\bridge_lower.wav,1,1,1,1,750,2000,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.6,,,,100,200,0.4,0.4,,,,,20,90,0.25,1,
bridge_hit,,SFX\Levels\zombie\maps\giant\bridge_hit.wav,1,1,1,1,750,2000,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.6,,,,100,200,0.4,0.4,,,,,20,90,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Teleporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beam_fx,,SFX\Levels\zombie\tele\beam\beam_fx.wav,1,1,1,1,200,2000,,,,,,full_vol,,3d,,,,,,curve1,,,,,,curve3,,,,0.7,,,,100,250,0.7,0.35,,,,,40,80,0.25,1,
beam_fx_home_start,,SFX\Levels\zombie\tele\beam\beam_fx_home_start.wav,1,1,1,1,200,2000,,,,,,full_vol,,3d,,,,,,curve1,,,,,,curve3,,,,0.7,,,,100,250,0.7,0.35,,,,,40,80,0.25,1,
beam_fx_home_imp,,SFX\Levels\zombie\tele\beam\beam_fx_home_end.wav,1,1,1,1,200,2000,,,,,,full_vol,,3d,,,,,,curve1,,,,beam_fx_home_flux_l,,curve3,,,,0.7,,,,100,250,0.7,0.35,,,,,40,80,0.25,1,
beam_fx_home_flux_l,,SFX\Levels\zombie\tele\beam\beam_fx_fl_l.wav,1,1,1,1,100,1200,,,,,,full_vol,,3d,,,,,,curve3,,,,beam_fx_home_flux_r,,curve3,,,,0.7,,,,,,,0.35,left_player,7,,,40,80,0.25,1,
beam_fx_home_flux_r,,SFX\Levels\zombie\tele\beam\beam_fx_fl_r.wav,1,1,1,1,100,1200,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.7,,,,,,,0.35,right_player,7,,,40,80,0.25,1,
beam_fx_link,,SFX\Levels\zombie\tele\beam\beam_fx_link.wav,1,1,1,1,200,2000,,,,,,full_vol,,3d,,,,,,curve1,,,,,,curve3,,,,0.7,,,,100,250,0.6,0.35,,,,,40,80,0.25,1,
power_loop,,SFX\Levels\zombie\maps\giant\arc_loop_##,0.4,0.4,0.98,1.02,100,1000,,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve3,,,,0.7,,,,,,,0.1,,,,,40,80,0.25,1,
homepad_power_loop,,SFX\Levels\zombie\maps\giant\arc_loop_##,0.95,0.95,0.98,1.02,100,2000,,,,,,ambience,,3d,,,looping,,,curve3,,,,,,curve1,,,,0.7,,,,,,,0.1,,,,,40,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telepad_power_sparks,,null.wav,0.8,0.8,0.9,1.1,100,1000,,8,priority,,,ambience,,3d,,,,,,curve3,,,,,,curve3,,,,0.7,,,,,,,0.25,,,,,40,80,0.25,1,
tele_spark_loop,,SFX\Levels\zombie\maps\giant\tele_spark_loop.wav,1,1,0.95,1.05,500,2000,,,,,,full_vol,,3d,,,looping,,,curve3,,,,,,curve3,,,,0.7,,,,,,,0.25,,,,,40,80,0.25,1,
tele_spark_hit,,SFX\Levels\zombie\maps\giant\tele_spark_hit.wav,1,1,0.95,1.05,500,2000,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.7,,,,,,,0.25,,,,,40,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teleport_out,,SFX\Levels\zombie\tele\teleport_out.wav,1,1,1,1,150,150,50000,,,,,full_vol,,3d,,,,,,curve0,,,,,,,,,,0.7,,,,120,120,0.8,0,,,,,40,80,0.25,1,
teleport_in,,SFX\Levels\zombie\tele\teleport_in.wav,1,1,1,1,200,200,50000,,,,,full_vol,,3d,,,,,,curve0,,,,,,,,,,0.7,,,,200,200,0.8,0,,,,,40,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teleport_2d_fnt,,sfx/levels/zombie/tele/teleport_2d_fnt.wav,1,1,1,1,,,,,,,,full_vol,,2d,,,,,,,,,,,,,,,wpn_fnt,,,,,,,,,,,,,60,90,0.25,1,
teleport_2d_rear,,sfx/levels/zombie/tele/teleport_2d_rear.wav,1,1,1,1,,,,,,,,full_vol,,2d,,,,,,,,,,,,,,,wpn_rear,,,,,,,,,,,,,60,90,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packa_door_1,,SFX\Levels\zombie\maps\giant\packa_door\door_1.wav,1,1,0.95,1.05,200,500,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.6,,,,,,,0.2,,,,,20,90,0.25,1,
packa_door_2,,SFX\Levels\zombie\maps\giant\packa_door\door_2.wav,1,1,0.95,1.05,200,500,,,,,,full_vol,,3d,,,,,,curve3,,,,,,curve3,,,,0.6,,,,,,,0.2,,,,,20,90,0.25,1,
packa_door_hitch,1,SFX\Levels\zombie\maps\giant\packa_door\door_hitch_00.wav,1,1,0.95,1.05,200,500,,,,,,full_vol,,3d,,,,,,curve3,,,pitch,,,curve3,,,,0.6,,,,,,,0.2,,,,,20,90,0.25,1,
packa_door_hitch,2,SFX\Levels\zombie\maps\giant\packa_door\door_hitch_01.wav,1,1,0.95,1.05,200,500,,,,,,full_vol,,3d,,,,,,curve3,,,pitch,,,curve3,,,,0.6,,,,,,,0.2,,,,,20,90,0.25,1,
packa_door_hitch,3,SFX\Levels\zombie\maps\giant\packa_door\door_hitch_02.wav,1,1,0.95,1.05,200,500,,,,,,full_vol,,3d,,,,,,curve3,,,pitch,,,curve3,,,,0.6,,,,,,,0.2,,,,,20,90,0.25,1,
packa_door_hitch,4,SFX\Levels\zombie\maps\giant\packa_door\door_hitch_03.wav,1,1,0.95,1.05,200,500,,,,,,full_vol,,3d,,,,,,curve3,,,pitch,,,curve3,,,,0.6,,,,,,,0.2,,,,,20,90,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Warmup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lever_pull_warmup,,SFX\Levels\zombie\tele\lever_pull.wav,0.7,0.7,1,1,200,1000,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
pad_warmup,,SFX\Levels\zombie\tele\warmup\warmup.wav,0.7,0.7,1,1,100,1000,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,,,0.7,,,,100,250,0.6,0.35,,,,,40,80,0.25,1,
pad2l_warmup,,SFX\Levels\zombie\tele\warmup\mach_warm_l.wav,0.8,0.8,1,1,100,1200,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
pad2r_warmup,,SFX\Levels\zombie\tele\warmup\mach_warm_r.wav,0.8,0.8,1,1,100,1200,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
top_spark1_warmup,,SFX\Levels\zombie\tele\warmup\top_spark_00.wav,1,1,1,1,150,1350,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
top_spark2_warmup,,SFX\Levels\zombie\tele\warmup\top_spark_01.wav,1,1,1,1,150,1350,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,400,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
top_spark3_warmup,,SFX\Levels\zombie\tele\warmup\top_spark_02.wav,1,1,1,1,150,1350,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,800,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
top_spark4_warmup,,SFX\Levels\zombie\tele\warmup\top_spark_03.wav,1,1,1,1,150,1350,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,1200,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Cooldown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pad_cooldown,,SFX\Levels\zombie\tele\cooldown\cooldown.wav,0.7,0.7,1,1,100,1000,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,,,0.7,,,,100,250,0.6,0.35,,,,,40,80,0.25,1,
pad2l_cooldown,,SFX\Levels\zombie\tele\cooldown\mach_cool_l.wav,0.8,0.8,1,1,100,1200,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
pad2r_cooldown,,SFX\Levels\zombie\tele\cooldown\mach_cool_r.wav,0.8,0.8,1,1,100,1200,25000,,,,,full_vol,,3d,,,,,,curve0,,,,,,curve3,,,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
lever_pull_cooldown,,null.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,
top_spark1_cooldown,,null.wav,0.9,0.9,1,1,150,1350,25000,,,,,full_vol,,3d,,,,,,curve1,,,,,,curve3,,150,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
top_spark2_cooldown,,null.wav,0.9,0.9,1,1,150,1350,25000,,,,,full_vol,,3d,,,,,,curve1,,,,,,curve3,,150,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
top_spark3_cooldown,,null.wav,0.9,0.9,1,1,150,1350,25000,,,,,full_vol,,3d,,,,,,curve1,,,,,,curve3,,150,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
top_spark4_cooldown,,null.wav,0.9,0.9,1,1,150,1350,25000,,,,,full_vol,,3d,,,,,,curve1,,,,,,curve3,,150,,0.7,,,,,,,0.35,,,,,40,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PA System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# SFX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa_buzz,,SFX\Levels\zombie\tele\pa\pa_buzz.wav,0.8,0.8,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
clock_tick_1sec,,SFX\Levels\zombie\maps\giant\clock_tick_1sec.wav,0.5,0.5,1,1,,,,1,reject,,,full_vol,,2d,,,,,,,,,,,,,,,,,,1,,,,,,,,,,40,80,0.25,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# VOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa_audio_link_1,,voiceovers\zombie\PA\link_count_1_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_2,,voiceovers\zombie\PA\link_count_2_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_3,,voiceovers\zombie\PA\link_count_3_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_4,,voiceovers\zombie\PA\link_count_4_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_5,,voiceovers\zombie\PA\link_count_5_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_6,,voiceovers\zombie\PA\link_count_6_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_7,,voiceovers\zombie\PA\link_count_7_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_8,,voiceovers\zombie\PA\link_count_8_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_9,,voiceovers\zombie\PA\link_count_9_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_10,,voiceovers\zombie\PA\link_count_10_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_15,,voiceovers\zombie\PA\link_count_15_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_20,,voiceovers\zombie\PA\link_count_20_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_start,,voiceovers\zombie\PA\link_count_start_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,1200,,1,,,,,,,,,,yes,,40,80,0.25,1,
pa_audio_link_fail,,voiceovers\zombie\PA\link_count_no_00.wav,0.75,0.75,1,1,100,1250,3000,,,,,voice,,3d,,,,,,curve4,,,,,,curve2,,,,1,,,,,,,,,,yes,,40,80,0.25,1,
