name,platform,file,sequence,vol_min,vol_max,dist_min,dist_max,limit_count,limit_type,entity_limit_count,entity_limit_type,bus,volume_min_falloff_curve,volumefalloffcurve,reverb_send,dist_reverb_max,reverb_min_falloff_curve,reverb_falloff_curve,pitch_min,pitch_max,randomize_type,spatialized,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,chainaliasname,startdelay,speakermap,lfe percentage,center percentage,envelop_min,envelop_max,envelop percentage,occlusion_level,occlusion_wet_dry,real_delay,distance_lpf,move_type,move_time,min_priority,max_priority,min_priority_threshold,max_priority_threshold,subtitle,doppler
rain_tin,,SFX/Amb/rain/on_stuff/on_tin/tin_rain_01.wav,2,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_tin,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_01.wav,3,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_tin,,SFX/Amb/rain/on_stuff/on_tin/tin_rain_03.wav,4,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_water,,SFX/Amb/rain/on_stuff/on_water_##,,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_metal,,SFX/Amb/rain/on_stuff/on_metal_new_##,,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_rock,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_00.wav,1,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.8,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_rock,,SFX\Amb\rain\on_stuff\door_rain\door_rain_02.wav,2,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.8,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_roof,,SFX/Amb/rain/on_stuff/on_tin/tin_rain_00.wav,1,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_roof,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_00.wav,2,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_roof,,SFX/Amb/rain/on_stuff/on_tin/tin_rain_02.wav,3,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_roof,,SFX\Amb\rain\on_stuff\door_rain\door_rain_04.wav,4,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,variant,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_can,,SFX\Amb\rain\on_stuff\on_can\can_rain_00.wav,,0.75,0.85,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_stone,,SFX\Amb\rain\on_stuff\on_stone\stone_rain_00.wav,,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.85,1.1,,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_window,,SFX/Amb/rain/on_stuff/on_window/on_window_00.wav,,0.75,0.85,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.9,1.05,,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_pavement,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_00.wav,1,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.8,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
rain_pavement,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_01.wav,2,0.45,0.55,300,800,15,priority,,,ambience,,curve2,1,1100,,curve1,0.8,1.1,pitch,3d,,,looping,,,,,,,,,,,,,,0.15,,,,,,10,40,0.25,0.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain_door,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_00.wav,1,0.55,0.65,100,800,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.75,,,,,,,,,,,,,0.15,,,,,,5,40,0.25,1,,
rain_door,,SFX\Amb\rain\on_stuff\on_pave\pave_rain_01.wav,2,0.55,0.65,100,800,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.75,,,,,,,,,,,,,0.15,,,,,,5,40,0.25,1,,
#rain_door,,SFX\Amb\rain\on_stuff\door_rain\door_rain_02.wav,3,0.45,0.55,100,800,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.5,,,,,,,,,,,,,0.15,,,,,,5,40,0.25,1,,
#rain_door,,SFX\Amb\rain\on_stuff\door_rain\door_rain_03.wav,4,0.45,0.55,100,800,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.5,,,,,,,,,,,,,0.15,,,,,,5,40,0.25,1,,
#rain_door,,SFX\Amb\rain\on_stuff\door_rain\door_rain_04.wav,5,0.45,0.55,100,800,,,,,ambience,,,,1100,,,,,,3d,,,looping,0.5,,,,,,,,,,,,,0.15,,,,,,5,40,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helmetrainf,,Stream\Level\ber2\helmet_rainf.wav,,0.8,0.8,,,,,,,full_vol,,,0,,,,,,,2d,streamed,,looping,0.8,,,,helmet_rainr,,,wpn_fnt,,,,,,,,,,,,80,90,0.25,1,,
helmet_rainr,,Stream\Level\ber2\helmet_rainr.wav,,0.8,0.8,,,,,,,full_vol,,,0,,,,,,,2d,streamed,,looping,0.8,,,,rain_gun,,,wpn_rear,,,,,,,,,,,,80,90,0.25,1,,
rain_gun,,SFX\Amb\rain\on_stuff\on_gun\rain_gun.wav,,0.9,0.9,,,,,,,ambience,,,0,,,,,,,2d,,,looping,0.8,,,,,,,all_center,,1,,,,,,,,,,80,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helmetrainf_2,,Stream\Level\ber2\helmet_rainf.wav,,0.8,0.8,,,,,,,full_vol,,,0,,,,,,,2d,streamed,,looping,0.8,,,,helmet_rainr_2,,,wpn_fnt,,,,,,,,,,,,80,90,0.25,1,,
helmet_rainr_2,,Stream\Level\ber2\helmet_rainr.wav,,0.8,0.8,,,,,,,full_vol,,,0,,,,,,,2d,streamed,,looping,0.8,,,,rain_gun_2,,,wpn_rear,,,,,,,,,,,,80,90,0.25,1,,
rain_gun_2,,SFX\Amb\rain\on_stuff\on_gun\rain_gun.wav,,0.9,0.9,,,,,,,ambience,,,0,,,,,,,2d,,,looping,0.8,,,,,,,all_center,,1,,,,,,,,,,80,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_drip,,SFX\Amb\amb_drip\amb_drip_00.wav,1,0.2,0.3,100,450,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75,,
water_drip,,SFX\Amb\amb_drip\amb_drip_01.wav,2,0.2,0.3,100,450,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75,,
water_drip,,SFX\Amb\amb_drip\amb_drip_02.wav,3,0.2,0.3,100,450,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75,,
water_drip,,SFX\Amb\amb_drip\amb_drip_03.wav,4,0.2,0.3,100,450,,,,,ambience,,curve2,,1000,,curve3,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,5,25,0.25,0.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_vs_boat,,SFX/Amb/Pacific/ocean/water_vs_boat_calm_00.wav,1,0.6,0.65,200,800,6,priority,,,ambience,,curve3,,1300,,curve2,0.8,1.1,pitch,3d,,,looping,,all_mp,,,,,,,,,,,,0.25,,,no,,,30,50,0.1,1,,
water_vs_boat,,SFX/Amb/Pacific/ocean/water_vs_boat_calm_01.wav,2,0.6,0.65,200,800,6,priority,,,ambience,,curve3,,1300,,curve2,0.8,1.1,pitch,3d,,,looping,,all_mp,,,,,,,,,,,,0.25,,,no,,,30,50,0.1,1,,
water_vs_pier,,SFX/Amb/Pacific/ocean/water_vs_boat_calm_00.wav,1,0.6,0.65,200,800,6,priority,,,ambience,,curve3,,1300,,curve2,0.8,1.1,pitch,3d,,,looping,,all_mp,,,,,,,,,,,,0.25,,,no,,,30,50,0.1,1,,
water_vs_pier,,SFX/Amb/Pacific/ocean/water_vs_boat_calm_01.wav,2,0.6,0.65,200,800,6,priority,,,ambience,,curve3,,1300,,curve2,0.8,1.1,pitch,3d,,,looping,,all_mp,,,,,,,,,,,,0.25,,,no,,,30,50,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub_wronk,,SFX\Amb\metal\wronk_##,,0.9,1,300,2000,4,reject,,,ambience,,curve3,1,3000,,curve3,0.8,1,pitch,3d,,0.4,,,,,,metal_stress,,,,,,,,,0.3,,,,,,20,60,0.25,0.8,,
metal_stress,,SFX\Amb\metal\stress_##,,0.75,0.85,300,2500,4,reject,,,ambience,,curve3,1,3500,,curve3,0.8,1,pitch,3d,,0.65,,,,,,,,,,,,,,,0.4,,,,,,10,50,0.1,0.8,,
metal_scrape,,SFX\Amb\metal\scrape_##,,0.4,0.5,300,2500,4,reject,,,ambience,,curve3,1,3500,,curve3,0.8,1,pitch,3d,,0.55,,,,,,,,,,,,,,,0.4,,,,,,10,50,0.1,0.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steam,,SFX\Levels\mp_subway\steam_leak_high.wav,,0.35,0.5,100,500,,,,,ambience,,curve3,0.8,650,,curve3,0.95,1.05,pitch,3d,,,looping,,,,,,,,,,,,,,0.3,,,no,,,10,55,0.25,0.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wave_break,,SFX\Amb\Pacific\ocean\wave_break\wave_break_00.wav,1,0.75,0.85,100,1400,3,reject,,,ambience,,curve3,0.6,1900,,curve3,0.9,1.05,pitch,3d,,,,,,,,,,,,,,,,,0.3,,,,,,30,50,0.1,1,,
wave_break,,SFX\Amb\Pacific\ocean\wave_break\wave_break_01.wav,2,0.75,0.85,100,1400,3,reject,,,ambience,,curve3,0.6,1900,,curve3,0.9,1.05,pitch,3d,,,,,,,,,,,,,,,,,0.3,,,,,,30,50,0.1,1,,
wave_break,,SFX\Amb\Pacific\ocean\wave_break\wave_break_02.wav,3,0.75,0.85,100,1400,3,reject,,,ambience,,curve3,0.6,1900,,curve3,0.9,1.05,pitch,3d,,,,,,,,,,,,,,,,,0.3,,,,,,30,50,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
static,,sfx/levels/mp_airfield/static_##,,0.6,0.75,150,800,,,,,ambience,,curve3,0.9,1400,,curve3,1,1,,3d,,,,,all_mp,,,,,,,,,,,,0.4,,,,,,30,60,0.1,0.9,,
amb_flies,,SFX\Amb\animals\flies\amb_flies01.wav,,0.45,0.55,50,400,,,,,ambience,,curve3,0.9,600,,curve2,0.9,1.1,pitch,3d,,,looping,,all_mp,,,,,,,,,,,,0.15,,,,,,10,40,0.1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machine_hum,,SFX\Levels\zombie\maps\asylum\switch\comp\comp_loop.wav,,0.65,0.65,100,800,,,,,ambience,,curve2,0.8,1100,,curve3,0.95,1.05,pitch,3d,,,looping,,,,,,,,,,,,,,0.3,,,no,,,10,55,0.25,0.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#buoy,,SFX\Amb\buoy_##,,1,1,4000,6500,,,,,ambience,,curve2,1,8500,,curve4,0.95,1.05,pitch,3d,,,looping,,,,,,,,,,,,,,0.2,,,,,,50,65,0.8,0.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunder,,SFX\Amb\thunder\left\left_00.wav,1,0.6,0.85,3000,18000,,,,,full_vol,,,1,50000,,curve4,0.7,1,,3d,,,,,,,,thunderR1,,,,0.35,,,,,0.15,,yes,no,left_player,15,80,90,0.25,1,,
thunder,,SFX\Amb\thunder\left\left_01.wav,2,0.6,0.85,3000,18000,,,,,full_vol,,,1,50000,,curve4,0.7,1,,3d,,,,,,,,thunderR2,,,,0.35,,,,,0.15,,yes,no,left_player,15,80,90,0.25,1,,
thunder,,SFX\Amb\thunder\left\left_02.wav,3,0.6,0.85,3000,18000,,,,,full_vol,,,1,50000,,curve4,0.7,1,,3d,,,,,,,,thunderR3,,,,0.35,,,,,0.15,,yes,no,left_player,15,80,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thunderR1,,SFX\Amb\thunder\right\right_00.wav,,0.6,0.85,3000,18000,,,,,full_vol,,,1,50000,,curve4,0.7,1,,3d,,,,,,,,clap,,,,0.35,,,,,0.15,,yes,no,right_player,15,80,90,0.25,1,,
thunderR2,,SFX\Amb\thunder\right\right_01.wav,,0.6,0.85,3000,18000,,,,,full_vol,,,1,50000,,curve4,0.7,1,,3d,,,,,,,,clap,,,,0.35,,,,,0.15,,yes,no,right_player,15,80,90,0.25,1,,
thunderR3,,SFX\Amb\thunder\right\right_02.wav,,0.6,0.85,3000,18000,,,,,full_vol,,,1,50000,,curve4,0.7,1,,3d,,,,,,,,clap,,,,0.35,,,,,0.15,,yes,no,right_player,15,80,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clap,,SFX\Amb\thunder\clap_##,1,0.7,0.95,3000,18000,,,,,full_vol,,,1,50000,,curve4,0.9,1.1,,3d,,,,,,,,,,,,0.1,,,,,0.25,,yes,no,,,80,90,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_bounce_paintedmetal,,SFX/Weapon/Gren/smk_bounce/wood_##,,0.65,0.85,500,1300,,,,,projectile,,,,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,80,95,0.25,1,,
sticky_gren_bounce_paintedmetal,,SFX\Weapon\gren\sticky_gren_splat.wav,,0.65,0.85,500,1300,,,,,projectile,,,,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,80,95,0.25,1,,
grenade_bounce_paintedmetal,,SFX/Weapon/Gren/bounce/metal_##,,0.65,0.85,500,1300,,,,,projectile,,,,,,,0.9,1.05,,3d,,,,,,,,,,,,,,,,,,,,,,,80,95,0.25,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fire,,SFX\Levels\mp_subway\fires\hut_fire_00.wav,,0.85,0.95,100,900,,,,,ambience,,curve3,0.8,1200,,curve3,0.95,1.05,pitch,3d,,,looping,,,,,,,,,,,,,,0.2,,,no,,,10,55,0.25,0.75,,
waterfall_small,,SFX\Levels\zombie\maps\asylum\water\floor\water_floor.wav,,1,1,50,500,,,,,ambience,,curve3,1,800,,curve3,0.96,1.03,pitch,3d,,,looping,,all_mp,,,,,,,,,,,,0.2,,no,no,,,30,60,0.25,1,,
helmet_rain,,Stream\Level\ber2\helmet_rain_door.wav,,0.55,0.55,25,50,,,,,full_vol,,curve1,1,50,,curve3,1,1,,3d,,,looping,,all_mp,,,,,,,,,50,150,0.5,0.3,,,,,,5,10,0.15,0.85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
